SectionID,ProcessedHeading,ProcessedContent,What,Why,How,When,Who,References,Contribution,Other
133,getting started,abstr_number install rails command prompt yet gem install rails abstr_number command prompt,0,0,1,0,0,1,0,0
134,contributing,encourage contribute ruby rails please check abstr_hyperlink guidelines proceed abstr_hyperlink everyone interacting rails sub projects codebases,0,0,0,0,0,0,1,0
135,code status,abstr_hyperlink,0,0,0,1,0,0,0,0
136,license,ruby rails released abstr_hyperlink,0,0,0,0,1,0,0,0
137,app service mobile completed quickstart xamarin android apps,repository contains xamarin android app project based app service mobile apps quickstart project,1,0,0,0,0,0,0,0
138,overview,projects repository equivalent downloading quickstart xamarin android app project portal completing following mobile apps tutorials abstr_hyperlink abstr_hyperlink abstr_hyperlink,1,0,0,0,0,0,0,0
139,configure mobile app backend,use sample,0,0,1,0,0,0,0,0
140,configure xamarin android app,app project offline sync support enabled,0,0,1,0,0,0,0,0
141,set mobile app backend url,first thing need set url mobile app backend mobileserviceclient constructor,0,0,1,0,0,0,0,0
142,configure authentication,client backend configured use authentication,0,0,1,0,0,0,0,0
143,configure push notifications,need configure push notifications registering xamarin android app google cloud messaging gcm abstr_hyperlink,0,0,1,0,0,0,0,0
144,running app,mobile app backend app configured,0,0,1,0,0,0,0,0
145,implementation notes,section highlights changes made original tutorial samples design decisions made implementing features mobile apps client app,0,0,0,0,0,1,0,0
146,template push notification registration,original push notification tutorial used native wns registration sample changed use template registration,0,0,1,0,0,1,0,0
147,client added push notification tags,mobile app registers push notifications using azure app service mobile apps backend,0,0,1,0,0,1,0,0
148,authenticate first,sample little different tutorials push notifications send devices push registrations belong specific user authenticated user registers push notifications,0,0,1,0,0,0,0,0
149,apache abstr_number cookbook,abstr_hyperlink abstr_hyperlink cookbook provides complete debian ubuntu style apache httpd configuration non debian based distributions red hat centos,1,0,0,0,0,0,0,0
150,requirements,,0,0,1,0,0,0,0,0
151,ohai chef,ohai abstr_number abstr_number abstr_number chef abstr_number abstr_number abstr_number abstr_number abstr_number abstr_number,0,0,1,0,0,0,0,0
152,cookbooks,cookbook direct dependencies cookbooks,0,0,1,0,0,1,0,0
153,platforms,following platforms versions tested supported using abstr_hyperlink ubuntu abstr_number abstr_number,0,0,1,0,0,0,0,0
154,notes rhel family,red hat enterprise linux derivatives,0,0,1,0,0,0,0,0
155,notes freebsd,version abstr_number abstr_number basic testing freebsd abstr_number abstr_number using chef abstr_number abstr_number abstr_number support pkgng chef abstr_number,0,0,1,1,0,0,0,0
156,tests,cookbook abstr_hyperlink contains chefspec,0,0,0,0,0,0,1,0
157,attributes,cookbook uses many attributes,0,0,1,0,0,0,0,0
158,platform specific,order support broadest number platforms,0,0,0,0,0,1,0,0
159,general settings,general settings used recipes templates default values noted node apache version specifing abstr_number abstr_number triggers apache abstr_number abstr_number support platform known test install abstr_number abstr_number default,0,0,1,0,0,1,0,0
160,prefork attributes,prefork attributes used tuning apache httpd abstr_hyperlink configuration node apache prefork startservers initial number server processes start default abstr_number node apache prefork minspareservers minimum number spare server processes default abstr_number node apache prefork maxspareservers maximum number spare server processes default abstr_number node apache prefork serverlimit upper limit configurable server processes default abstr_number node apache prefork maxrequestworkers maximum number connections processed simultaneously node apache prefork maxconnectionsperchild maximum number request child process handle default abstr_number,0,0,1,0,0,1,0,0
161,worker attributes,worker attributes used tuning apache httpd abstr_hyperlink configuration node apache worker startservers initial number server processes start default abstr_number node apache worker serverlimit upper limit configurable server processes default abstr_number node apache worker minsparethreads minimum number spare worker threads default abstr_number node apache worker maxsparethreads maximum number spare worker threads default abstr_number node apache worker maxrequestworkers maximum number simultaneous connections default abstr_number node apache worker maxconnectionsperchild limit number connections individual child server handle life,0,0,1,0,0,1,0,0
162,event attributes,event attributes used tuning apache httpd abstr_hyperlink configuration node apache event startservers initial number child server processes created startup default abstr_number node apache event serverlimit upper limit configurable number processes default abstr_number node apache event minsparethreads minimum number spare worker threads default abstr_number node apache event maxsparethreads maximum number spare worker threads default abstr_number node apache event threadlimit upper limit configurable number threads per child process default abstr_number node apache event threadsperchild number threads created child process default abstr_number node apache event maxrequestworkers maximum number connections processed simultaneously node apache event maxconnectionsperchild limit number connections individual child server handle life,0,0,1,0,0,1,0,0
163,mod_auth_openid attributes,following attributes attributes mod_auth_openid file like chef attributes files,0,0,1,0,0,1,0,0
164,mod_ssl attributes,node apache mod_ssl cipher_suite sets sslciphersuite value specified string default considered sane may need change local security policy,0,0,1,0,0,1,0,0
165,recipes,recipes cookbook enabling apache modules additional configuration behavior used,0,0,1,0,0,1,0,0
166,default,default recipe number things set apache httpd also includes number modules based attribute node apache default_modules recipes,0,0,1,0,0,0,0,0
167,logrotate,logrotate adds logrotate entry apache abstr_number logs recipe requires logrotate cookbook ensure recipe logrotate node expanded run list,0,0,1,0,0,0,0,0
168,mod_auth_cas,recipe installs proper package enables auth_cas module install source package package default,0,0,1,0,0,1,0,0
169,mod_auth_openid,changed via cook abstr_number recipe compiles module source addition build essential,0,0,1,0,0,1,0,0
170,changes cook abstr_number,authtype openid instead authopenidenabled require user instead authopeniduserprogram bug mod_auth_openid causes segfault attempting update database file containing directory writable httpd process owner,0,0,1,0,0,0,0,0
171,mod_fastcgi,install fastcgi package enable module work debian ubuntu,0,0,1,0,0,0,0,0
172,mod_fcgid,installs fcgi package enables module requires epel rhel family rhel family,0,0,1,0,0,0,0,0
173,mod_php abstr_number,simply installs appropriate package debian,0,0,1,0,0,0,0,0
174,mod_ssl,besides installing enabling mod_ssl,0,0,1,0,0,0,0,0
175,god_monitor,sets god monitor apache external requirements god runit cookbooks opscode using recipe,0,0,1,0,0,1,0,0
176,definitions,cookbook provides definitions point future definitions may refactored lightweight resources providers suggested abstr_hyperlink,0,0,0,0,0,1,0,0
177,apache_config,sets configuration file apache template template cookbook definition used used apache_conf definition often used directly use abstr_number enconf abstr_number disconf control symlinking configuration files conf available conf enabled enable disable apache config file node apache dir conf available calling abstr_number enmod abstr_number dismod manage symbolic link node apache dir conf enabled config files created cookbook,0,0,1,0,0,0,0,0
178,parameters,config enabled disabled abstr_number enconf abstr_number disconf scripts source location template file default erb cookbook cookbook configuration template located located current cookbook default value current cookbook enable default,0,0,1,0,0,0,0,0
179,examples,enable example config apache_config example enable end disable module apache_config disabled_example enable end see recipes directory many examples apache_config,0,0,0,0,0,1,0,0
180,apache_conf,writes conf files conf available folder,0,0,1,0,0,0,0,0
181,parameters,config placed enabled disabled abstr_number enconf abstr_number disconf scripts enable default,0,0,1,0,0,0,0,0
182,examples,place enable example conf apache_conf example enable end place disable never enable begin example conf apache_conf example enable end place example conf,0,0,1,0,0,0,0,0
183,apache_mod,sets configuration file apache module template template cookbook definition used used apache_module definition often used directly use template resource write module configuration file mods available apache configuration directory node apache dir platform dependent location see,0,0,1,0,0,0,0,0
184,parameters,template used apache_module,0,0,1,0,0,0,0,0
185,examples,create node apache dir mods available alias conf apache_mod alias,0,0,1,0,0,0,0,0
186,apache_module,enable disable apache module node apache dir mods available calling abstr_number enmod abstr_number dismod manage symbolic link node apache dir mods enabled module configuration file,0,0,1,0,0,0,0,0
187,parameters,module enabled disabled abstr_number enmod abstr_number dismod scripts identifier string identify module loadmodule directive typically needed,0,0,1,0,0,0,0,0
188,examples,enable ssl module,0,0,0,0,0,1,0,0
189,apache_site,enable disable virtualhost node apache dir sites available calling abstr_number ensite abstr_number dissite manage symbolic link node apache dir sites enabled template site must managed separate resource combine template enabling site,0,0,1,0,0,1,0,0
190,parameters,site enable default,0,0,1,0,0,0,0,0
191,web_app,manage template resource virtualhost site,0,0,1,0,0,0,0,0
192,parameters,current parameters used definition site template written node apache dir sites available params conf cookbook optional cookbook source template defined,0,0,1,0,0,0,0,0
193,examples,recommended way use web_app definition application specific cookbook named my_app following example would look template named web_app conf erb cookbook containing apache httpd directives defining virtualhost would serve my_app web_app my_app template web_app conf erb server_name node my_app hostname end parameters passed template use whatever like apache abstr_number cookbook comes web_app conf erb template example following parameters used template server_name servername directive server_aliases serveralias directive must array aliases docroot documentroot directive application_name used rewritelog directive set parameter directory_index allow overriding default directoryindex setting,0,0,1,0,0,1,0,0
194,usage,using cookbook relatively straightforward add desired recipes run list node,0,0,1,0,0,0,0,0
195,license authors,author adam jacob abstr_hyperlink author joshua timberman abstr_hyperlink author bryan mclellan abstr_hyperlink author dave esposito abstr_hyperlink author david abdemoulaie abstr_hyperlink author edmund haselwanter abstr_hyperlink author eric rochester author jim browne author matthew kent abstr_hyperlink author nathen harvey abstr_hyperlink author ringo smet abstr_hyperlink author sean omeara abstr_hyperlink author seth chisamore abstr_hyperlink author gilles devaux abstr_hyperlink author sander van zoest abstr_hyperlink author taylor price abstr_hyperlink copyright abstr_number abstr_number,0,0,0,0,1,0,0,0
196,vue resource abstr_hyperlink abstr_hyperlink abstr_hyperlink,plugin abstr_hyperlink provides services making web requests handle responses using abstr_hyperlink jsonp,1,0,0,0,0,0,0,0
197,features,supports abstr_hyperlink api abstr_hyperlink supports interceptors request response supports latest firefox,1,0,0,0,0,0,0,0
198,installation,install via abstr_hyperlink abstr_hyperlink abstr_code_section,0,0,1,0,0,0,0,0
199,cdn,available abstr_hyperlink,0,0,1,0,0,0,0,0
200,example,abstr_code_section,0,0,1,0,0,0,0,0
201,documentation,configuration http requests response creating resources code recipes api reference,0,0,0,0,0,1,0,0
202,changelog,details changes release documented abstr_hyperlink,0,0,0,1,0,0,0,0
203,contribution,find bug want contribute code documentation,0,0,0,0,0,0,1,0
204,license,abstr_hyperlink,0,0,0,0,1,0,0,0
205,actionbarsherlock,actionbarsherlock standalone library designed facilitate use action bar design pattern across versions android single api library automatically use abstr_hyperlink implementation android abstr_number abstr_number later previous versions include actionbar,1,0,0,0,0,1,0,0
206,developed,jake wharton abstr_hyperlink,0,0,0,0,1,0,0,0
207,license,copyright abstr_number jake wharton licensed apache license,0,0,0,0,1,0,0,0
208,node,abstr_hyperlink abstr_hyperlink node javascript runtime built chrome abstr_number javascript engine node uses event driven,1,0,0,0,1,0,1,0
209,resources newcomers,,0,0,0,0,0,1,0,0
210,official resources,abstr_hyperlink abstr_hyperlink contributing project irc node core development abstr_hyperlink,0,0,0,0,0,1,0,0
211,unofficial resources,irc general questions abstr_hyperlink please see abstr_hyperlink information regarding node irc channel note unofficial resources neither managed necessarily endorsed node tsc ctc specifically,0,0,0,0,0,1,0,0
212,release types,node project maintains multiple types releases current released active development branches repository,0,0,0,1,0,0,0,0
213,download,binaries,0,0,1,0,0,0,0,0
214,verifying binaries,current,0,0,1,0,0,0,0,0
215,building node,see building instructions build node source,0,0,1,0,0,0,0,0
216,security,security bugs node taken seriously reported emailing security nodejs org delivered subset project team handle security issues please disclose security bugs publicly handled security team email acknowledged within abstr_number hours,0,0,0,0,0,1,0,0
217,current project team members,node project team comprises group core collaborators sub group forms technical committee_ ctc governs project information governance node project,0,0,0,0,1,0,0,0
218,ctc core technical committee,abstr_hyperlink anna henningsen anna addaleax net abstr_hyperlink ben noordhuis info bnoordhuis abstr_hyperlink chalkerx gmail com abstr_hyperlink chris dickinson christopher dickinson gmail com abstr_hyperlink colin ihrig cjihrig gmail com abstr_hyperlink evan lucas evanlucas com abstr_hyperlink jeremiah senkpiel abstr_hyperlink fedor indutny fedor indutny gmail com abstr_hyperlink james snell jasnell gmail com abstr_hyperlink michael dawson michael_dawson ibm com abstr_hyperlink julien gilli jgilli nodejs org abstr_hyperlink brian white mscdex mscdex net abstr_hyperlink ali ijaz sheikh ofrobots google com abstr_hyperlink rod vagg rod vagg org abstr_hyperlink shigeki ohtsu ohtsu iij abstr_hyperlink myles borins myles borins gmail com abstr_hyperlink sakthipriyan vairamani thechargingvolcano gmail com abstr_hyperlink trevor norris trev norris gmail com abstr_hyperlink rich trott rtrott gmail com,0,0,0,0,1,0,0,0
