ID,Heading,Content,What,Why,How,When,Who,References,Contributions,Other
13,console,console interprocess communication ipc mechanism contrast ruby irb executes process rubinius console intended general purpose mechanism interact virtual machine capabilities console include ability execute code return result start step stop debugger start stop profiler access data profiler diagnostics fetch call graph object graph data todo plenty places help developer tools interest,0,1,1,0,0,0,0,0
14,debugger,debugger uses instruction replacement substituting debug instruction existing instruction point instruction sequence cause executing instance code stop allow inspect values step next instruction step another instance code method function block todo plenty places help developer tools interest,0,0,1,0,0,0,0,0
15,profiler,profiler randomized interval sampling profiler always running randomized interval code instances currently executing thread sample count incremented addition code instances call count incremented time invoked every call site number times call site executes tracked type object seen call sites enable deriving call graph program object graph call sites normal ruby object interface todo plenty places help developer tools interest,0,0,1,0,0,0,0,0
16,diagnostics logging,diagnostics facility provides metrics components virtual machine logging facility includes different log levels debug info warn error provides descriptive account virtual machine lifecycle events todo plenty places help developer tools interest,0,0,1,0,0,0,0,0
17,machine code compiler,machine code compiler based llvm compiles managed code instance machine code first generation rubinius jit time compiler included type inference custom code passes inlining facilities implemented next generation compiler uses nanopass nanopass org architecture builds single managed code instance compiled native machine code todo plenty places help native machine code compilers interest,0,0,1,0,0,0,0,0
18,data types functions,rubinius functions really bin rbx compile plus fun plus end plus arguments required post total arity locals stack size registers literals line lines push_local push_local send_stack unwind ret several ways types added first important distinguish behavior object oriented code types data see objects interactions functions data medium metalanguage objects interactions functions data objects instead types want able easily convey objects represent differently ruby class def integer integer values passed integers integer constructor called value passed default value similarly default value end end functions situation similar different ruby type int fun int int type must machine integers return type specified annotation end fun int int return int type return value int return argument elided end fun int int int form would require modifying parser end three represent possibility implementing types including return type function form implemented chosen yet namespacing explicit data definition using either type data implemented yet definitely considered examples would ruby namespace my_funcs data size_cat value big small fun big value big end fun small value small end end end my_funcs size_cat big my_funcs size_cat small functions became particularly interesting mingled object oriented code rubinius lexical scope represented ruby object much like ruby object since ruby contain language features manipulating lexical scope natural place stash functions lookup seems unsurprising ruby class import my_funcs def small big puts mixed mode end end end new small big mixed mode ruby method call explicitly use receiver could resolve function imported lexical scope exclosing lexical scope functions types described part experimental may may actually exist read ideas legitimate really excited features let know todo plenty places help functions data types interest,0,0,1,0,0,0,0,0
19,api,api provides element compatibility ruby extensions however api deprecated likely eventually removed,0,0,1,0,0,0,0,0
20,faq,programming language project concept application seems better faster cheaper use instead yes absolutely sooner better really tickets tagged beginners lot respect abilities whether ever written line code whether ever worked compiler virtual machine garbage collector debugger find something interests dive get stuck ask question pet feature done already done usd really accept rewrite virtual machine rust node typescript add static typing ruby core library terrific idea lot fascinating ideas fork rubinius whip idea show people find useful let talk might find got far better project rubinius trying figure might useful documentation yes book rubinius book needs lot love attention embed rubinius favorite application yes facilities support interacting machine added time include machine hpp int main int argc char argv rubinius machine machine argc argv machine boot return machine halt ruby programming language many popular ruby applications like rails may run rubinius aims compatible recent stable ruby version rubinius provides standard ruby libraries following exceptions continuation ripper tracepoint tracer following ruby features supported rubinius refinements safe levels rubinius ruby implementation rubinius experiment started ruby implementation attempting look beyond limitations ruby consider rubinius mostly compatible superset ruby rubinius report ruby version rubinius time machine use travel future even readme future weird version scheme rubinius rubinius uses simple epoch sequence version scheme sequence number add new capabilities remove something listed deprecated super simple rubinius support frozen tainted rubinius better features frozen tainted considered harmful elaborate frozen tainted depend strewing checks throughout source code classic link_ system one checks needs misplaced guarantees offered either fail since number checks high new code written new checks need considered features inherently constitute unbounded complexity unbounded risk place frozen rubinius implementing attributes classes one attribute immutability way works every machine instruction attribute whether instruction would mutate object method added class attributes checked method containing mutating instructions disallowed additionally dispatch searches superclasses class marked immutable would also perform check immutability indelible attribute inherited subclasses place tainted rubinius implementing sanitization functions boundary similar transcoding facility cases places checks must made orders magnitude fewer case frozen tainted checks orderly well rubinius allow set arbitrary encodings strings rubinius uses utf internally transcoding must performed boundary use rubygems rubinius comes rubygems built install gem run following rbx gem install gem_name rubinius install gem binaries place ruby rubinius intended installed alongside ruby without causing conflicts main executable rbx installed system directory edit shell path include directories listed rubinius installed access executables like gem binaries,0,0,0,0,0,0,0,1
21,exceptionlogger,exception logger forgive horrible logs rails exceptions database provides funky web interface manage first need generate migration script generate exception_migration next need include exceptionloggable module applicationcontroller done might want modify key methods customize logging render_404 exception shows template render_500 exception shows template log_exception exception logs actual exception database rescue_action_in_public exception log exceptions activerecord recordnotfound actioncontroller unknowncontroller actioncontroller unknownaction add new route routes map connect logged_exceptions action controller logged_exceptions visit logged_exceptions application manage exceptions done open vendor plugins init file choose pagination supported options will_paginate paginating_find simple mysql based pagination uses limit current default use options need uncomment pagination_type line require pagination comment use etc understandable may want require authentication add config environments production config environments production config after_initialize require application unless object const_defined applicationcontroller loggedexceptionscontroller class_eval set session key app session session_key include custom auth modules need include authenticationsystem before_filter login_required optional sets application rss feeds self application_name beast protected allow admins obviously depends auth system works def authorized current_user is_a admin end assume app login required use basic def login_required_with_basic respond_to accepts alias_method_chain alias app login_required login_required_without_basic accepts html login_required_without_basic access_denied_with_basic_auth defined loggedexceptionscontroller get_auth_data returns back user password pair accepts rss access_denied_with_basic_auth unless self current_user user authenticate get_auth_data end end end alias_method_chain login_required basic end end exact code course depends specific needs application,1,0,1,0,0,0,0,0
22,credits,jamis buck original exception_notification plugin rick olson model controller code josh goebel design jason knight pagination support built inspired ryanb willpaginate support,0,0,0,0,1,0,0,0
23,restful authentication generator github technoweenie restful authentication,widely used plugin provides foundation securely managing user authentication login logout secure password handling account activation validating email account approval disabling admin rudimentary hooks authorization access control several features updated may stable newer version github technoweenie restful authentication tree master classic backward compatible version github technoweenie restful authentication tree classic experimental version github technoweenie restful authentication tree modular much modular needs testing review important upgrade site existing user account passwords stop working unless use old passwords,1,0,0,1,0,0,0,0
24,issue tracker,please submit bugs annoyances lighthouse tracker rails_security lighthouseapp projects restful_authentication overview rails_security lighthouseapp projects restful_authentication overview anything simple enough please github message maintainers rick olson technoweenie github technoweenie flip kromer mrflip github mrflip,0,0,0,0,0,1,0,0
25,documentation,page notes installation install new features awesome installing post install see wiki github technoweenie restful authentication wikis home notes directory want learn extensions addons alternatives addons haml templates security design patterns security patterns snazzy diagram github technoweenie restful authentication tree master notes securityframework png authentication lets visitor identify lay claim corresponding roles measure trust trust metrics trustification confidence rely outcomes visitor actions authorization policy based trust identity actions may visitor perform access control authorization policy actually enforced code hopefully without turning spaghetti thens rails plugins authentication trust authorization access control tradeoffs paranoid curious rundown tradeoffs made code changelog summary changes internals todo ideas help best version release notes notes directory source code github technoweenie restful authentication tree master look latest version wiki versions taken manually,0,0,0,0,0,1,0,0
26,exciting new features,,0,0,0,0,0,1,0,0
27,stories,cucumber wiki github aslakhellesoy cucumber home features allow expressive enjoyable tests authentication code flexible code resource testing stories extended ben mabey benmabey rspec plain text stories webrat chunky bacon,1,0,0,0,0,1,0,0
28,modularize match security design patterns,authentication currently password browser cookie token basic trust metric email validation authorization stateful roles leave flexible framework play nicely access control policy definition trust metric plugins,0,0,1,0,0,0,0,0
29,,added helper methods linking user pages uniform handling logout remember_token stricter email login field validation minor security fixes see changelog,0,0,1,0,0,0,0,0
30,non backwards compatible changes,changes may release increase defense depth may require changes existing accounts existing site changes compelling enough warrant migrating userbase generating new site changes low impact apply,0,0,1,1,0,0,0,0
31,passwords,new password encryption using site key salt stretching break existing user accounts passwords recommend use old passwords option write migration tool submit patch see tradeoffs note information,0,0,1,0,0,0,0,0
32,validations,default email usernames validated somewhat strict pattern users values may illegal adjust suit,0,0,1,0,0,0,0,0
33,installation,basic restful authentication generator rails taken acts authenticated currently requires rails important rails users avoid nameerror exception lighthouse tracker ticket rails_security lighthouseapp projects restful_authentication tickets valid constant errors ticket check code underscore dash either use git clone git github technoweenie restful authentication git restful_authentication rename plugin directory restful_authentication fetching use generator script generate authenticated user sessions include activation stateful rspec skip migration skip routes old passwords first parameter specifies model gets created signup typically user account model model migration created well basic controller create method probably want say user second parameter specifies session controller controller handles actual login logout function site probably session include activation generates code actionmailer respective activation code email stateful builds support acts_as_state_machine generates activation code stateful implies include activation based idea vaporbase postings stateful_authentication passing skip migration skip user migration skip routes skip resource generation useful already run generator needs acts_as_state_machine plugin elitists textdriven svn plugins acts_as_state_machine new installs probably run aasm instead aasm works stateful uses updated aasm gem github rubyist aasm tree master rspec generate rspec tests stories place standard rails tests requires rspec rspec rails plugins rspec info make sure script generate rspec installing rspec rspec story suite much thorough rails tests changes unlikely backported old passwords use older password scheme see compatibility skip migration generate migration file model skip routes generate resource line config routes,0,0,1,0,0,0,0,0
34,installing,assumes model named user controller named session please alter suit additional security minutae notes readme tradeoffs paranoid curious need bother though add familiar login urls config routes like map signup signup controller users action new map login login controller session action new map logout logout controller session action destroy include activation also add config routes map activate activate activation_code controller users action activate activation_code nil add observer config environment config active_record observers user_observer pay attention may issue everybody problems sent activation_code match database stored reload user object sending data email something like class userobserver activerecord observer def after_create user user reload usermailer deliver_signup_notification user end def after_save user user reload usermailer deliver_activation user user recently_activated end end stateful add observer config environment config active_record observers user_observer modify users resource line read map resources users member suspend put unsuspend put purge delete use public repository code github rubyforge gitorious etc make sure post site_keys add line like config initializers site_keys gitignore svn ignore dance make sure keep backed somewhere safe,0,0,1,0,0,0,0,0
35,attachment,attachment_fu plugin rick olson aka technoweenie techno weenie net successor acts_as_attachment get basic run capabilities check mike clark tutorial clarkware cgi blosxom fileuploadfu,1,0,0,0,1,1,0,0
36,attachment_fu functionality,attachment_fu facilitates file uploads ruby rails storage options actual file data plugin always minimum stores metadata file database four storage options files uploaded attachment_fu file system database file amazon rackspace mosso cloud files method storage many options associated covered following section something note however amazon storage requires modify config amazon_s3 yml rackspace cloud files storage requires modify config rackspace_cloudfiles yml database file storage requires extra table,0,0,1,0,0,0,0,0
37,attachment_fu models,three storage options table metadata required table contain information file hence meta location table restrictions naming unlike extra table required database storage must table db_files convention model dbfile model two methods made available plugins has_attachment validates_as_attachment has_attachment options method accepts options hash content_type allowed content types allows default use image allow standard image types min_size minimum size allowed byte default max_size maximum size allowed megabyte default size range sizes allowed megabyte default overrides min_size max_size options resize_to used rmagick resize images pass either array width height geometry string thumbnails specifies set thumbnails generate accepts hash filename suffixes rmagick resizing options option need included want thumbnailing thumbnail_class set model class use thumbnails current attachment class used default path_prefix path store uploaded files uses public table_name default filesystem table_name cloud files backend setting sets storage file_system partition whether partiton files directories like image jpg default applicable file_system backend storage specifies storage system use defaults db_file options file_system db_file cloud_files cloudfront using storage option allows serving files via amazon cloudfront defaults processor sets image processor use resizing attached image options include imagescience rmagick minimagick default whatever installed uuid_primary_key model primary key bit uuid hexadecimal format set association_options attachment_fu automatically defines associations thumbnails has_many belongs_to additional options want pass methods specify examples has_attachment max_size kilobyte has_attachment size megabyte megabytes has_attachment content_type application pdf has_attachment content_type application pdf application msword text plain has_attachment content_type image resize_to has_attachment content_type application pdf image resize_to x50 has_attachment thumbnails thumb geometry x50 has_attachment storage file_system path_prefix public files has_attachment storage file_system path_prefix public files content_type image resize_to partition has_attachment storage file_system path_prefix public files thumbnails thumb geometry x50 has_attachment storage has_attachment store cloudfront has_attachment storage cloud_files validates_as_attachment method prevents files outside valid range min_size max_size size range saved however halt upload files uploaded memory regardless size validation example validates_as_attachment,0,0,1,0,0,0,0,0
38,attachment_fu migrations,fields attachment_fu metadata tables general size integer file size bytes content_type string mime type application mp3 filename string sanitized filename reference images height integer pixels width integer pixels reference images thumbnailed parent_id integer parent image table self referencing foreign key populated current object thumbnail thumbnail string type thumbnail attachment record describes populated current object thumbnail usage model avatar has_attachment content_type image storage file_system max_size kilobytes resize_to thumbnails small thumb elsewhere user avatar thumbnails first thumbnail small reference files stored database db_file db_file_id integer file database foreign key field attachment_fu db_files table data binary binary file data use database file storage,0,0,1,0,0,0,0,0
39,attachment_fu views,two main views tasks directly affected attachment_fu upload forms displaying uploaded images two parts upload form differ typical usage include multipart html options form_for tag example form_for attachment_metadata url action create html multipart form use file_field helper uploaded_data field example form file_field uploaded_data displaying uploaded images made easy public_filename method activerecord attachment objects using file system cloud files storage public_filename thumbnail nil returns public path file thumbnail prefix specified return public file path corresponding thumbnail examples attachment_obj public_filename attachments file jpg attachment_obj public_filename thumb attachments file_thumb jpg attachment_obj public_filename small attachments file_small jpg serving files database storage simply downloading file beyond scope document,0,0,1,0,0,0,0,0
40,attachment_fu controllers,two considerations take account using attachment_fu controllers first files publicly accessible path need downloaded action example def readme send_file path readme txt type plain text disposition inline end see possible values send_file reference second saving file submitted form example view form file_field attachable uploaded_data example controller def create attachable_file attachmentmetadatamodel new params attachable attachable_file save flash notice attachment successfully created redirect_to attachable_url attachable_file render action new end end,0,0,1,0,0,0,0,0
41,attachement_fu scripting,may wish import large number images attachments following example shows upload file script usr bin env script runner required use actioncontroller testuploadedfile require action_controller require action_controller test_process path public images jpg mimetype string like image jpeg one way get mimetype given file unix system mimetype file path gsub mimetype image jpeg upload file path create new model attachable attachmentmetadatamodel new uploaded_data actioncontroller testuploadedfile new path mimetype attachable save,0,0,1,0,0,0,0,0
42,readme,psuedo protocol amazon service interact way url bar,1,0,1,0,0,0,0,0
43,todo,release fix copyright contributors info logo help section allow mixed case bucket names,0,0,0,1,0,0,0,0
44,bugs ideas,twitter_production profile_background_images cannot click contained thing twitter_production profile_background_images css breaks background stops acts weird setup credentials works due blockui,0,0,1,0,0,0,0,0
45,future ideas,right click save broken exception feedback tool setting acl bucket recursive deletion folder setting acl key progress meter uploads tools page info accurate information specific cache key listing info channel layer support logging right click handler copy url torrent create time limited url key support renaming copying keys deal undetected mime types ask user linkify key directories paths ala initial designs awesome bar good date format key list support adding people buckets via email addresses specify bucket created europe transfer ssl handle uploading folders via dnd emulate create folder system others use,0,0,0,1,0,0,0,0
46,glowstick,fix fix url,0,0,0,0,1,1,0,0
47,description,fix describe package,1,0,0,0,0,0,0,0
48,features problems,fix list features problems,0,0,1,0,0,0,0,0
49,synopsis,fix code sample usage,0,0,1,0,0,0,0,0
50,requirements,fix list requirements,0,0,1,0,0,0,0,0
51,install,fix sudo gem install anything,0,0,1,0,0,0,0,0
52,license,mit license copyright fix permission hereby granted free charge person obtaining copy software associated documentation files software deal software without restriction including without limitation rights use copy modify merge publish distribute sublicense sell copies software permit persons software furnished subject following conditions copyright notice permission notice shall included copies substantial portions software software provided without warranty kind express implied including limited warranties merchantability fitness particular purpose noninfringement event shall authors copyright holders liable claim damages liability whether action contract tort otherwise arising connection software use dealings software,0,0,0,0,1,0,0,0
53,,starling light weight server reliable distributed message passing,1,0,0,0,0,0,0,0
54,description,starling powerful simple messaging server enables reliable distributed queuing absolutely minimal overhead speaks memcache protocol maximum cross platform compatibility language speaks memcache take advantage starling queue facilities,1,1,0,0,0,0,0,0
55,installation,fork starling source hosted github found github starling starling tree master original source found rubyforge longer exists github serves gems prefixed username differentiate different forks project installed command one time gem sources gems github often like sudo gem install starling starling see gems github want info github gems,0,0,1,0,0,1,0,0
56,quick start usage,view starling help usage message starling help console window start starling server default runs verbosely foreground listening stores files tmp starling starling new console test put get messages queue irb require starling starling starling new memcache servers buckets nil starling set my_queue nil starling get my_queue simple loop queue something like loop puts starling get my_queue sleep nil nil information run following new console gem server start gem server localhost view browser see rdocs gem generate rdocs running following new console rdoc,0,0,1,0,0,0,0,0
57,using fiveruns memcache client,memcache client fiveruns couple fixed added like supporting failover retry failure fork memcache client source hosted github found github fiveruns memcache client tree master installed using command one time gem sources gems github often like sudo gem install fiveruns memcache client,0,1,1,0,0,1,0,0
58,known issues,starling slow far messaging systems concerned practice fast enough,0,0,1,0,0,0,0,0
59,todo,implement memcached instead memcache client interface make faster,0,0,0,1,0,0,0,0
60,authors,blaine cook romeda gmail chris wanstrath chris ozmm org anotherbritt glenn rempe abdul rahman advany abdulrahman advany,0,0,0,0,1,0,0,0
61,copyright,starling light weight server reliable distributed message passing copyright blaine cook blaine twitter twitter inc,0,0,0,0,1,0,0,0
62,thin,small fast ruby web server,1,0,0,0,0,0,0,0
63,installation,gem install thin add thin gemfile ruby gem thin,0,0,1,0,0,0,0,0
64,usage,thin script offers easy way start rack application thin start browse example directory sample applications,0,0,1,0,0,0,0,0
65,usage rails action cable,use thin action cable add following gemfile ruby gem faye websocket gem thin already done create config initializers thin_action_cable ruby rails application config action_cable use_faye faye websocket load_adapter thin,0,0,1,0,0,0,0,0
66,cli,use rackup config file bind localhost port thin config start store server process log file daemonize thin tmp pids thin pid logs thin log start thin quite flexible many options specified command line see thin,0,0,1,0,0,0,0,0
67,configuration files,create configuration file using thin config config thin yml use commands thin start config thin yml example config file yaml user data group data pid tmp pids thin pid timeout wait log log thin log max_conns require environment production max_persistent_conns servers threaded epoll daemonize socket tmp sockets thin sock chdir path apps root tag show aux,0,0,1,0,0,0,0,0
68,license,ruby license ruby lang org license txt,0,0,0,0,1,1,0,0
69,credits,parser originally mongrel mongrel rubyforge org zed shaw mongrel copyright zed shaw contributors licensed ruby license gpl2 thin copyright marc andre cournoyer macournoyer gmail get help groups google group thin ruby report bugs github macournoyer thin issues major security issues directly macournoyer gmail,0,0,0,0,1,1,0,0
70,resource controller,resource_controller makes restful controllers easier maintainable super readable restful controller pattern hidden away focus makes controller special,1,1,0,0,0,0,0,0
71,get,install plugin script plugin install git github giraffesoft resource_controller git grab source git clone git github giraffesoft resource_controller git,0,0,1,0,0,1,0,0
72,usage,creating basic restful controller easy class postscontroller resourcecontroller base end prefer use method call syntax need inherit class syntax definitely class postscontroller applicationcontroller resource_controller end syntaxes identical behavior make sure call resource_controller use r_c functionality controller nobody uses default restful controller though resource_controller provides simple api customizations,0,0,1,0,0,0,0,0
73,action lifecycle,really easy make changes lifecycle actions note call new accessor new_action since new somewhat reserved ruby,0,0,1,0,0,0,0,0
74,,class projectscontroller resourcecontroller base new_action times object tasks build end create object creator current_user end end,0,0,1,0,0,0,0,0
75,flash,class projectscontroller resourcecontroller base create flash believe easy use resource_controller neither could end,0,0,1,0,0,0,0,0
76,respond_to,add already class projectscontroller resourcecontroller base create wants render template show rjs end create whole new block syntax destroys everything starts class projectscontroller resourcecontroller base create response wants wants html wants render template show rjs end end nested resource want redirect parent create update destroy object controller class commentscontroller resourcecontroller base belongs_to post create wants html redirect_to smart_url parent_url_options update wants html redirect_to smart_url parent_url_options destroy wants html redirect_to smart_url parent_url_options end,0,0,1,0,0,0,0,0
77,scoping,sometimes want make bunch customizations helpers accept blocks make grouping calls really easy dsl maybe maybe definitely awesome actions fail scoping defaults success means create flash create success flash class projectscontroller resourcecontroller base create flash object successfully created wants render template show rjs failure wants render template display_errors rjs end destroy flash destroyed project good work failure flash cannot destroy project stop trying wants render template display_errors rjs end end end,0,0,1,0,0,0,0,0
78,singleton resource,want create singleton restful controller inherit resourcecontroller singleton class accountscontroller resourcecontroller singleton end need inherit class class accountscontroller applicationcontroller resource_controller singleton end note type controllers handle single resource index action collection helpers collection_url collection_path available loading objects singletons similar plural controllers one exception non nested singleton controllers override object method defaults nil class accountscontroller resourcecontroller singleton private def object object account find session account_id end end cases use default logic override use permalinks anything special singleton nesting has_many has_one associations provided map resource account has_many options account options account singleton parent map resources users has_one image users image image singleton child has_many association singleton parent remember override parent_object has_many controller returns nil default case class optionscontroller resourcecontroller base belongs_to account protected def parent_object account find session account_id end end,0,0,1,0,0,0,0,0
79,helpers resourcecontroller helpers,,0,0,1,0,0,0,0,0
80,loading objects,want add something like pagination controller class postscontroller resourcecontroller base private def collection collection end_of_association_chain find page size current params page end end maybe used permalink class postscontroller resourcecontroller base private def object object end_of_association_chain find_by_permalink param end end,0,0,1,0,0,0,0,0
81,building objects,maybe alternative way building objects class postscontroller resourcecontroller base private def build_object object end_of_association_chain build_my_object_some_funky_way object_params end end tons helpers resourcecontroller helpers,0,0,1,0,0,0,0,0
82,nested resources,nested controllers pain especially routing may may parent resource controller class commentscontroller resourcecontroller base belongs_to post end finding creation everything done scope post automatically,0,0,1,0,0,0,0,0
83,namespaced resources,handled automatically namespaces always available symbolized array form resourcecontroller helpers namespaces,0,0,1,0,0,0,0,0
84,polymorphic resources,everything including url generation handled completely automatically take example comment class comment belongs_to commentable polymorphic end comments_controller class commentscontroller resourcecontroller base belongs_to post product user end note model polymorphic activerecord sense associated whichever way want routes map resources posts has_many comments map resources products has_many comments map resources users has_many comments r_c infer whichever relationship present perform actions scope parent object,0,0,1,0,0,0,0,0
85,parent helpers,also get helpers reflecting parent parent parent present parent_type post parent_model post parent_object post,0,0,1,0,0,0,0,0
86,non standard resource names,resource_controller supports overrides every non standard configuration resources common example resource different associated model simply overriding model_name helper get resource_controller working model map resources tags class phototag activerecord base class tagscontroller resourcecontroller base private def model_name photo_tag end end example variable params set tag tags params tag like change override object_name def object_name photo_tag end using non standard controller everything standard overriding resource_name propagate helpers map resources tags controller somethings class tag activerecord base class somethingscontroller resourcecontroller base private def resource_name tag end end finally route_name helper used urligence determine url helper call non standard route names override map resources tags controller taggings class taggings activerecord base class taggingscontroller resourcecontroller base private def route_name tag end end,0,0,1,0,0,0,0,0
87,url helpers,thanks urligence also get free url helpers matter controller looks like edit_ new_ object_url equivalent saying edit_ new_ post_url post edit_ new_ object_url some_other_object allows specify object still maintain paths namespaces present collection_url like saying posts_url url helpers especially useful working polymorphic controllers posts comments object_url posts comments comment to_param object_url comment posts comments comment to_param edit_object_url posts comments comment to_param edit collection_url posts comments products comments object_url products comments comment to_param object_url comment products comments comment to_param edit_object_url products comments comment to_param edit collection_url products comments comments object_url comments comment to_param object_url comment comments comment to_param edit_object_url comments comment to_param edit collection_url comments namespaced nested controllers admin products options object_url admin products options option to_param object_url option admin products options option to_param edit_object_url admin products options option to_param edit collection_url admin products options get idea everything automagical parameters inferred,0,1,1,0,0,0,0,0
88,credits,resource_controller created maintained james golick jamesgolick,0,0,0,0,1,0,0,0
89,license,resource_controller available mit license wikipedia org wiki mit_license,0,0,0,0,1,0,0,0
90,markaby markup ruby,markaby short bit code writing html pages pure ruby alternative erb weaves two languages together also replacement templating languages use primitive languages blend html,1,1,0,0,0,0,0,0
91,using markaby rails plugin,write rails templates pure ruby example layout html head title products action_name stylesheet_link_tag scaffold end body flash notice style color green self content_for_layout end end,0,0,1,0,0,0,0,0
92,using markaby ruby class,markaby flaming easy call ruby classes require markaby mab markaby builder new mab html head title boats body boats great deals canoe raft huge boot floats fit people end end end puts mab to_s markaby builder new take two arguments passing variables helper object also affix block right class see markaby builder,0,0,1,0,0,0,0,0
93,note instance_eval,markaby builder class different normal builder class since uses instance_eval running blocks cleans appearance markaby code write instance_eval used code would look like mab markaby builder new mab html mab head mab title boats mab body mab boats great deals end end puts mab to_s advantage cleanliness code disadvantage block run inside markaby builder object scope means inside blocks self markaby builder object use instance variables blocks instance variables markaby builder object affect rails users used regular ruby code bit disorienting recommended put markaby code module mix anything,0,1,1,0,0,0,0,0
94,six steps markaby,dive right markaby probably make good sense likely run kinks review six steps commit memory really know,0,0,1,0,0,0,0,0
95,element classes,element classes may added hooking methods onto container elements div entry entrytitle son webpage div entrysection anthony div entrycontent okay idea end results div class entry class entrytitle son webpage div class entrysection anthony div div class entrycontent okay idea div div,0,0,1,0,0,0,0,0
96,element ids,ids may added use bang methods div page div content short short saintly dog results div page div content short short saintly dog div div,0,0,1,0,0,0,0,0
97,validate xhtml output,like markaby help assemble valid xhtml documents use xhtml_transitional xhtml_strict methods place normal html tag xhtml_strict head body end add xml instruction doctype tag document also character set meta tag placed inside head tag since markaby knows doctype using checks big list valid tags attributes printing anything div styl padding img src samorost jpg end invalidhtmlerror attribute styl markaby also make sure use element twice,0,0,1,0,0,0,0,0
98,escape escape,markaby uses simple convention escaping stuff string argument gets escaped string block handy using something like redcloth rdoc inside element pass string back block skip escaping div comment redcloth new str to_html raw text needs escaping pass argument div comment raw_str one caveat tags inside block string passed back ignored div comment div author div says torpedoooooes div silence div final div appear output mix tag modes like friend,0,1,1,0,0,0,0,0
99,auto stringification,end using markaby tags string tag output add new string back html output means call to_s get string back div title rock bottom span robert wyatt to_s adding strings ruby to_s happens automatically div title rock bottom span robert wyatt interpolation works fine div title rock bottom span robert wyatt operation might perform string div menu gets bits cult inspect map category link_to category end join,0,0,1,0,0,0,0,0
